id,type,subtype,locality,price,sale type,number of bedrooms,living room area,kitchen status,furnished,fireplace,terrace,terrace area,garden,garden area,total property area,total land area,facades,swimming pool,current state
10313260,HOUSE,HOUSE,Zaventem Nossegem,370000,residential_sale,4,31,HYPER_EQUIPPED,False,False,True,70.0,,,162,120,3.0,False,GOOD
10531194,HOUSE,TOWN_HOUSE,Dilbeek,369000,residential_sale,3,28,INSTALLED,,False,True,,,,157,227,3.0,False,GOOD
10599498,HOUSE,HOUSE,Ronse,209000,residential_sale,3,24,INSTALLED,False,False,True,8.0,True,35.0,132,100,2.0,False,JUST_RENOVATED
10543529,HOUSE,HOUSE,MALDEREN,279000,residential_sale,3,32,INSTALLED,,True,True,,True,,164,250,3.0,,TO_BE_DONE_UP
10653993,HOUSE,VILLA,Schoten,735000,residential_sale,3,60,INSTALLED,False,False,True,,True,1250.0,260,1492,4.0,,GOOD
10651408,HOUSE,HOUSE,Liege,149000,residential_sale,4,11,SEMI_EQUIPPED,False,False,True,27.0,True,28.0,129,75,2.0,False,TO_RENOVATE
10650946,HOUSE,APARTMENT_BLOCK,Anderlecht,649000,residential_sale,4,40,INSTALLED,False,False,True,40.0,True,260.0,300,414,2.0,True,TO_BE_DONE_UP
10660142,HOUSE,HOUSE,Lede,219000,residential_sale,3,32,INSTALLED,,False,True,,True,450.0,170,564,3.0,False,TO_BE_DONE_UP
10652462,HOUSE,VILLA,Deerlijk,668000,residential_sale,3,0,HYPER_EQUIPPED,,True,True,60.0,True,340.0,268,760,4.0,False,JUST_RENOVATED
10651986,HOUSE,HOUSE,CLAVIER-STATION,335000,residential_sale,4,45,INSTALLED,,True,True,,True,,160,638,4.0,,GOOD
10645850,HOUSE,HOUSE,Durbuy,495000,residential_sale,5,31,USA_HYPER_EQUIPPED,False,False,True,,True,1110.0,451,1110,3.0,False,AS_NEW
10400938,HOUSE,HOUSE,Ganshoren,375000,residential_sale,3,32,SEMI_EQUIPPED,,False,True,8.0,True,32.0,171,98,2.0,False,TO_RENOVATE
10593565,HOUSE,HOUSE,Ronse,209000,residential_sale,3,18,HYPER_EQUIPPED,False,False,True,20.0,True,80.0,132,180,2.0,False,GOOD
10653909,HOUSE,HOUSE,Woluwe-Saint-Pierre,1040000,residential_sale,5,24,HYPER_EQUIPPED,False,False,True,12.0,,,250,325,3.0,False,AS_NEW
10320017,HOUSE,MIXED_USE_BUILDING,Huy,279000,residential_sale,3,30,SEMI_EQUIPPED,,True,True,10.0,True,100.0,290,204,4.0,,GOOD
10660214,HOUSE,HOUSE,Gent,272000,residential_sale,3,14,USA_INSTALLED,False,False,,,,,119,55,2.0,False,GOOD
10656331,HOUSE,VILLA,Wavre,950000,residential_sale,4,50,HYPER_EQUIPPED,False,False,True,,,,265,1292,4.0,False,AS_NEW
10651230,HOUSE,HOUSE,Dendermonde,345000,residential_sale,3,0,INSTALLED,,True,,,True,,156,270,2.0,,JUST_RENOVATED
10651068,HOUSE,TOWN_HOUSE,Liege,189000,residential_sale,2,26,NOT_INSTALLED,False,False,True,,True,100.0,110,210,2.0,False,TO_BE_DONE_UP
10651713,HOUSE,VILLA,Waterloo,945000,residential_sale,6,50,NOT_INSTALLED,False,True,True,,True,,324,2400,4.0,,TO_RENOVATE
10645144,HOUSE,EXCEPTIONAL_PROPERTY,Assebroek,695000,residential_sale,6,58,NOT_INSTALLED,False,True,,,True,1200.0,275,2139,4.0,False,TO_RENOVATE
10324190,HOUSE,HOUSE,Villers-la-Ville,375000,residential_sale,6,35,INSTALLED,False,False,True,104.0,True,1269.0,194,1380,4.0,,TO_BE_DONE_UP
10306386,HOUSE,HOUSE,Seraing Ougrée,70000,residential_sale,2,15,NOT_INSTALLED,False,False,,,True,220.0,75,302,3.0,False,TO_RENOVATE
10534423,HOUSE,HOUSE,Herstal,219000,residential_sale,3,27,INSTALLED,False,False,True,30.0,,,164,95,2.0,False,GOOD
10165375,HOUSE,HOUSE,Huy,279000,residential_sale,3,30,SEMI_EQUIPPED,,True,True,10.0,True,100.0,290,204,4.0,,GOOD
10660333,HOUSE,HOUSE,Russeignies,275000,residential_sale,5,22,INSTALLED,False,False,True,80.0,True,210.0,172,818,4.0,False,GOOD
10658675,HOUSE,VILLA,FLÉMALLE,169000,residential_sale,2,31,SEMI_EQUIPPED,,True,True,13.0,True,1481.0,186,1633,4.0,,TO_RENOVATE
10652954,HOUSE,HOUSE,Ronse,1150000,residential_sale,12,0,INSTALLED,,True,True,,,,750,276,2.0,,GOOD
10651430,HOUSE,VILLA,Rixensart Genval,349000,residential_sale,3,28,INSTALLED,False,False,True,50.0,True,897.0,112,984,4.0,False,TO_BE_DONE_UP
10650938,HOUSE,HOUSE,Ronse,220000,residential_sale,4,0,INSTALLED,False,False,,,True,33.0,171,182,2.0,False,GOOD
10645588,HOUSE,HOUSE,Woluwe-Saint-Lambert,845000,residential_sale,4,24,USA_HYPER_EQUIPPED,False,False,True,1.0,True,163.0,239,280,3.0,False,AS_NEW
10472547,HOUSE,MIXED_USE_BUILDING,Herent,375000,residential_sale,4,0,INSTALLED,,True,,,True,128.0,348,314,2.0,,GOOD
10542512,HOUSE,HOUSE,Seraing,219000,residential_sale,2,21,USA_INSTALLED,False,False,True,53.0,True,220.0,100,373,3.0,False,GOOD
10527351,HOUSE,HOUSE,Huy,89500,residential_sale,3,11,SEMI_EQUIPPED,,True,,,,,120,55,2.0,,TO_RENOVATE
10473354,HOUSE,BUNGALOW,WARNANT-DREYE,279000,residential_sale,2,24,SEMI_EQUIPPED,,True,True,12.0,True,230.0,107,479,4.0,,GOOD
10659704,HOUSE,HOUSE,Dendermonde,599000,residential_sale,4,48,INSTALLED,,True,,,True,,378,571,3.0,,TO_BE_DONE_UP
10652924,HOUSE,HOUSE,Waregem,469000,residential_sale,3,0,HYPER_EQUIPPED,,True,True,,,,220,594,3.0,,GOOD
10652946,HOUSE,MIXED_USE_BUILDING,Ronse,1150000,residential_sale,12,0,INSTALLED,,True,True,,,,750,276,2.0,,GOOD
10660633,HOUSE,HOUSE,Walhain,225000,residential_sale,3,35,INSTALLED,False,False,,,True,778.0,122,843,3.0,False,TO_RENOVATE
10472546,HOUSE,HOUSE,Herent,375000,residential_sale,4,0,INSTALLED,,True,,,True,128.0,348,314,2.0,,GOOD
10645551,HOUSE,EXCEPTIONAL_PROPERTY,Dilbeek,1495000,residential_sale,4,40,HYPER_EQUIPPED,,False,True,,,,381,14528,4.0,True,AS_NEW
10651409,HOUSE,HOUSE,Welkenraedt,235000,residential_sale,5,12,NOT_INSTALLED,False,False,,,True,339.0,230,432,3.0,False,GOOD
10607888,HOUSE,COUNTRY_COTTAGE,Marchin,219000,residential_sale,3,22,INSTALLED,,True,True,,True,900.0,100,1155,4.0,,GOOD
10564022,HOUSE,HOUSE,Liege,99000,residential_sale,4,17,NOT_INSTALLED,False,False,,,,,123,60,3.0,False,TO_RENOVATE
10493036,HOUSE,HOUSE,Knokke-Heist,1250000,residential_sale,5,0,USA_HYPER_EQUIPPED,False,False,True,,,,182,145,2.0,False,GOOD
10625614,HOUSE,HOUSE,Flémalle Mons-lez-Liège,284000,residential_sale,3,45,INSTALLED,False,False,True,52.0,True,50.0,132,306,4.0,False,JUST_RENOVATED
10658551,HOUSE,HOUSE,Somme-Leuze,269800,residential_sale,3,45,NOT_INSTALLED,False,False,True,20.0,True,390.0,130,390,3.0,False,AS_NEW
10656655,HOUSE,HOUSE,Paliseul,149000,residential_sale,4,18,NOT_INSTALLED,False,False,True,12.0,True,200.0,200,340,4.0,False,TO_RENOVATE
10656202,HOUSE,MIXED_USE_BUILDING,Trooz,229000,residential_sale,3,35,NOT_INSTALLED,False,False,True,25.0,,,180,140,2.0,False,TO_RENOVATE
10652951,HOUSE,VILLA,Flobecq,735000,residential_sale,3,0,INSTALLED,,True,True,,,,404,3344,4.0,,GOOD
10570097,HOUSE,MIXED_USE_BUILDING,Ronse,375000,residential_sale,6,10,SEMI_EQUIPPED,False,False,True,20.0,True,350.0,235,650,3.0,False,TO_BE_DONE_UP
10437329,HOUSE,HOUSE,Saint-hubert,99000,residential_sale,2,22,SEMI_EQUIPPED,False,False,True,,,,81,65,2.0,False,TO_BE_DONE_UP
10417975,HOUSE,HOUSE,Gooik,369000,residential_sale,3,32,SEMI_EQUIPPED,,True,True,24.0,,,180,1150,4.0,,TO_BE_DONE_UP
10557728,HOUSE,HOUSE,Oupeye,219000,residential_sale,4,35,INSTALLED,False,False,True,72.0,,,185,205,3.0,False,GOOD
10658676,HOUSE,HOUSE,Huy,189000,residential_sale,3,30,INSTALLED,,True,,,True,2300.0,150,2450,2.0,,JUST_RENOVATED
10357579,HOUSE,MIXED_USE_BUILDING,Virton,290000,residential_sale,4,26,SEMI_EQUIPPED,,False,True,11.0,,,331,244,3.0,False,TO_RENOVATE
10656598,HOUSE,HOUSE,Viroinval,209000,residential_sale,3,0,INSTALLED,False,False,True,,,,140,204,3.0,False,GOOD
10656370,HOUSE,HOUSE,Berlare,439000,residential_sale,4,40,INSTALLED,,False,True,,,,200,570,4.0,False,GOOD
10659164,HOUSE,HOUSE,VIERSET-BARSE,395000,residential_sale,6,0,SEMI_EQUIPPED,,True,,,True,,286,958,4.0,,GOOD
10651620,HOUSE,VILLA,Braine-le-Château,1650000,residential_sale,4,0,USA_HYPER_EQUIPPED,,True,True,110.0,True,1000.0,414,2400,6.0,True,AS_NEW
10597213,HOUSE,HOUSE,Liège,380000,residential_sale,5,15,USA_INSTALLED,,True,,,True,220.0,216,537,4.0,False,AS_NEW
10650920,HOUSE,VILLA,Chaumont-Gistoux,385000,residential_sale,3,23,INSTALLED,False,False,True,20.0,True,900.0,125,1043,4.0,False,GOOD
10457107,HOUSE,HOUSE,Huy,219500,residential_sale,3,0,NOT_INSTALLED,,True,True,10.0,True,240.0,132,325,2.0,,TO_BE_DONE_UP
10459784,HOUSE,HOUSE,Seraing,125000,residential_sale,2,18,INSTALLED,False,False,,,,,61,50,2.0,False,GOOD
10656375,HOUSE,HOUSE,Erpe-Mere,298000,residential_sale,4,20,HYPER_EQUIPPED,,False,True,,True,400.0,190,660,3.0,False,GOOD
10658683,HOUSE,HOUSE,Seraing,199000,residential_sale,4,25,INSTALLED,False,False,True,108.0,True,28.0,125,229,2.0,False,GOOD
10657030,HOUSE,HOUSE,Wanze,460000,residential_sale,4,45,INSTALLED,,True,True,,True,,240,2600,4.0,,AS_NEW
10304070,HOUSE,APARTMENT_BLOCK,Liege,299000,residential_sale,4,35,NOT_INSTALLED,False,False,,,,,239,108,2.0,False,GOOD
10659163,HOUSE,MIXED_USE_BUILDING,VIERSET-BARSE,395000,residential_sale,6,0,SEMI_EQUIPPED,,True,,,True,,286,958,4.0,,GOOD
10652878,HOUSE,HOUSE,Uccle,1695000,residential_sale,6,50,INSTALLED,,True,True,48.0,True,900.0,448,1140,4.0,,AS_NEW
10445084,HOUSE,HOUSE,Neupre,385000,residential_sale,4,37,HYPER_EQUIPPED,False,False,True,120.0,True,345.0,249,730,3.0,False,GOOD
10651067,HOUSE,VILLA,Aywaille,399000,residential_sale,3,27,USA_HYPER_EQUIPPED,False,False,True,40.0,True,750.0,148,1278,4.0,True,GOOD
10619372,HOUSE,HOUSE,Ronse,129000,residential_sale,3,13,SEMI_EQUIPPED,False,False,,,,,117,60,2.0,False,GOOD
10656328,HOUSE,HOUSE,Woluwe-Saint-Pierre,725000,residential_sale,4,47,USA_HYPER_EQUIPPED,False,False,,,True,24.0,189,120,2.0,False,AS_NEW
10658498,HOUSE,HOUSE,Leuven,379000,residential_sale,3,27,INSTALLED,,False,,,True,73.0,111,131,2.0,False,GOOD
10656968,HOUSE,HOUSE,Oud-Heverlee Sint-Joris-Weert,389000,residential_sale,3,36,HYPER_EQUIPPED,,False,True,14.0,True,380.0,155,446,2.0,False,GOOD
10601233,HOUSE,HOUSE,Liège,299000,residential_sale,2,25,INSTALLED,False,True,True,25.0,,,190,130,2.0,False,JUST_RENOVATED
10662234,HOUSE,VILLA,Walhain,420000,residential_sale,5,29,INSTALLED,False,False,True,20.0,True,500.0,150,906,4.0,False,GOOD
10501779,HOUSE,HOUSE,NeufchÃteau,220000,residential_sale,3,16,SEMI_EQUIPPED,False,False,True,42.0,True,200.0,172,370,3.0,False,TO_BE_DONE_UP
10616923,HOUSE,HOUSE,Huy,385000,residential_sale,6,0,INSTALLED,,True,True,10.0,True,300.0,300,422,2.0,,AS_NEW
10656569,HOUSE,HOUSE,Herzele,460000,residential_sale,3,34,HYPER_EQUIPPED,False,False,True,140.0,True,688.0,252,1050,4.0,False,GOOD
10651623,HOUSE,MIXED_USE_BUILDING,Oud-Heverlee,425000,residential_sale,3,18,USA_HYPER_EQUIPPED,,False,True,,True,300.0,278,457,3.0,False,GOOD
10656333,HOUSE,VILLA,Wavre,750000,residential_sale,3,32,HYPER_EQUIPPED,False,False,True,,,,180,1398,4.0,False,AS_NEW
10657873,HOUSE,HOUSE,Rixensart,399000,residential_sale,3,32,SEMI_EQUIPPED,False,False,True,15.0,True,333.0,173,428,3.0,False,TO_RENOVATE
10475954,HOUSE,HOUSE,Seraing,135000,residential_sale,2,28,SEMI_EQUIPPED,False,False,True,17.0,True,40.0,87,120,2.0,False,TO_BE_DONE_UP
10553399,HOUSE,HOUSE,CLAVIER-STATION,299000,residential_sale,4,20,INSTALLED,,True,True,60.0,True,547.0,262,739,4.0,,GOOD
10658485,HOUSE,VILLA,Boortmeerbeek,795000,residential_sale,4,44,HYPER_EQUIPPED,False,False,True,,,,218,1755,4.0,False,AS_NEW
10658506,HOUSE,VILLA,Waterloo,640000,residential_sale,4,53,INSTALLED,False,True,True,,True,,200,658,4.0,,GOOD
10616773,HOUSE,HOUSE,Huy,385000,residential_sale,6,0,INSTALLED,,True,True,10.0,True,300.0,300,422,2.0,,AS_NEW
10657127,HOUSE,VILLA,Beerse,479000,residential_sale,3,45,,,False,,,True,611.0,209,1291,4.0,,GOOD
10624325,HOUSE,MIXED_USE_BUILDING,Antwerp,224000,residential_sale,1,28,SEMI_EQUIPPED,,True,True,13.0,,,50,5020,4.0,,GOOD
10659705,HOUSE,MIXED_USE_BUILDING,Dendermonde,599000,residential_sale,4,48,INSTALLED,,True,,,True,,378,571,3.0,,TO_BE_DONE_UP
10658484,HOUSE,HOUSE,Beveren,330000,residential_sale,3,25,HYPER_EQUIPPED,False,False,True,20.0,True,171.0,137,248,2.0,False,AS_NEW
10652807,HOUSE,HOUSE,Machelen (vlaams-brabant),495000,residential_sale,4,24,USA_HYPER_EQUIPPED,False,False,True,,True,824.0,202,955,3.0,False,TO_RENOVATE
10498768,HOUSE,HOUSE,Liege,139000,residential_sale,4,48,NOT_INSTALLED,False,False,True,65.0,True,199.0,164,317,3.0,False,TO_RENOVATE
10641652,HOUSE,HOUSE,Verviers,219000,residential_sale,6,16,INSTALLED,False,False,True,40.0,True,52.0,210,190,2.0,False,GOOD
10659296,HOUSE,HOUSE,Maarkedal,1795000,residential_sale,4,0,INSTALLED,False,False,True,,True,,355,8560,4.0,False,AS_NEW
10535529,HOUSE,HOUSE,WALHAIN,300000,residential_sale,2,29,SEMI_EQUIPPED,,True,,,True,557.0,102,670,4.0,,GOOD
10462018,HOUSE,HOUSE,Grace-Hollogne,389000,residential_sale,4,32,HYPER_EQUIPPED,False,False,True,62.0,True,750.0,194,1050,4.0,False,AS_NEW
10614287,HOUSE,HOUSE,Liège Rocourt,225000,residential_sale,3,37,INSTALLED,False,False,True,40.0,True,160.0,117,240,2.0,False,TO_BE_DONE_UP
10659537,HOUSE,MIXED_USE_BUILDING,Dendermonde,599000,residential_sale,4,48,INSTALLED,,True,,,True,,378,571,3.0,,TO_BE_DONE_UP
10657128,HOUSE,HOUSE,Malle,495000,residential_sale,3,0,0,,False,,,True,330.0,272,570,3.0,,GOOD
10651256,HOUSE,HOUSE,Lievegem,495000,residential_sale,4,48,USA_HYPER_EQUIPPED,False,False,True,66.0,True,630.0,194,744,3.0,False,GOOD
10607273,HOUSE,HOUSE,Wilrijk,415000,residential_sale,2,0,INSTALLED,,True,,,,,190,94,,,GOOD
9893706,HOUSE,HOUSE,Braine-le-Chateau,145000,residential_sale,2,16,SEMI_EQUIPPED,False,False,True,9.0,,,64,43,3.0,False,TO_BE_DONE_UP
10641519,HOUSE,HOUSE,Roosdaal,370000,residential_sale,3,20,SEMI_EQUIPPED,,False,True,,,,301,545,3.0,False,GOOD
10638080,HOUSE,MIXED_USE_BUILDING,Borgerhout,183000,residential_sale,2,34,SEMI_EQUIPPED,,True,True,4.0,,,89,287,2.0,,GOOD
10599770,HOUSE,HOUSE,Genappe Bousval,390000,residential_sale,4,32,INSTALLED,False,False,True,8.0,True,1600.0,195,1745,4.0,False,TO_BE_DONE_UP
10570091,HOUSE,HOUSE,Berloz,300000,residential_sale,3,58,INSTALLED,False,False,True,30.0,True,430.0,190,659,2.0,False,GOOD
10659534,HOUSE,HOUSE,Dendermonde,599000,residential_sale,4,48,INSTALLED,,True,,,True,,378,571,3.0,,TO_BE_DONE_UP
9941464,HOUSE,HOUSE,Liege,229000,residential_sale,4,37,SEMI_EQUIPPED,False,False,True,48.0,True,251.0,222,417,2.0,False,TO_BE_DONE_UP
10644588,HOUSE,HOUSE,Geraardsbergen,249999,residential_sale,3,20,INSTALLED,,True,,,,,125,58,2.0,,JUST_RENOVATED
10650829,HOUSE,VILLA,Oud-Heverlee (Blanden),645000,residential_sale,4,50,HYPER_EQUIPPED,,False,True,45.0,True,1350.0,330,1674,4.0,False,TO_BE_DONE_UP
10629774,HOUSE,HOUSE,Seraing,249000,residential_sale,3,28,INSTALLED,False,False,True,34.0,True,130.0,122,267,3.0,False,GOOD
10449074,HOUSE,APARTMENT_BLOCK,Aarschot,390000,residential_sale,3,0,INSTALLED,,True,True,20.0,True,60.0,190,373,3.0,,TO_BE_DONE_UP
10511092,HOUSE,HOUSE,Liege,149000,residential_sale,4,24,NOT_INSTALLED,False,False,True,,,,123,150,3.0,False,TO_BE_DONE_UP
10649277,HOUSE,HOUSE,Braine-l'Alleud,375000,residential_sale,3,14,INSTALLED,False,False,True,,True,750.0,114,1089,3.0,False,TO_RENOVATE
10602348,HOUSE,HOUSE,Mechelen-Zuid,315000,residential_sale,2,19,INSTALLED,,False,,,,,172,189,2.0,False,GOOD
10654940,HOUSE,HOUSE,FRAIRE,250000,residential_sale,4,50,SEMI_EQUIPPED,,True,True,30.0,True,1400.0,135,1651,4.0,,TO_BE_DONE_UP
10511320,HOUSE,HOUSE,Liege,229000,residential_sale,3,39,INSTALLED,False,False,True,14.0,,,179,110,2.0,False,GOOD
10658482,HOUSE,HOUSE,Watermael-Boitsfort,1100000,residential_sale,4,0,USA_HYPER_EQUIPPED,False,False,True,,True,60.0,248,150,2.0,False,AS_NEW
10638071,HOUSE,HOUSE,Antwerp,239000,residential_sale,5,19,INSTALLED,,True,True,5.0,,,150,56,2.0,,TO_BE_DONE_UP
10629603,HOUSE,HOUSE,Ternat,299000,residential_sale,3,34,HYPER_EQUIPPED,,False,True,,,,166,124,2.0,False,GOOD
10650668,HOUSE,EXCEPTIONAL_PROPERTY,Brugge,2200000,residential_sale,5,45,INSTALLED,False,True,True,50.0,True,466.0,439,735,2.0,False,JUST_RENOVATED
10609413,HOUSE,HOUSE,Herstal Vottem,149000,residential_sale,2,16,NOT_INSTALLED,False,False,,,True,304.0,114,422,4.0,False,TO_RENOVATE
10547427,HOUSE,HOUSE,Anthisnes,315000,residential_sale,3,0,SEMI_EQUIPPED,,True,True,20.0,True,1100.0,125,1240,4.0,,AS_NEW
10605502,HOUSE,VILLA,Genappe,395000,residential_sale,3,37,INSTALLED,False,False,True,29.0,True,970.0,226,1135,4.0,False,GOOD
10648707,HOUSE,HOUSE,Merelbeke,449000,residential_sale,3,34,HYPER_EQUIPPED,False,False,True,20.0,True,400.0,155,540,3.0,False,GOOD
10636460,HOUSE,HOUSE,Woluwe-Saint-Pierre,765000,residential_sale,4,59,SEMI_EQUIPPED,False,False,True,,,,214,505,3.0,False,TO_RENOVATE
10361144,HOUSE,HOUSE,SINT-AMANDS,268000,residential_sale,2,41,INSTALLED,,True,True,87.0,True,,156,202,3.0,,GOOD
10657583,HOUSE,HOUSE,Rixensart Genval,485000,residential_sale,3,12,SEMI_EQUIPPED,False,False,,,True,88.0,148,232,3.0,False,GOOD
10519891,HOUSE,HOUSE,Thimister-Clermont,229000,residential_sale,3,20,INSTALLED,False,False,True,92.0,,,172,204,3.0,False,GOOD
10630931,HOUSE,HOUSE,Andenne,335000,residential_sale,4,0,INSTALLED,,True,True,,True,,209,2185,4.0,,GOOD
10632086,HOUSE,MANSION,Hoegaarden,495000,residential_sale,3,0,INSTALLED,,True,,,True,800.0,221,221,3.0,,GOOD
10658479,HOUSE,HOUSE,Mettet,250000,residential_sale,4,50,SEMI_EQUIPPED,,True,True,30.0,True,1400.0,135,1651,4.0,,TO_BE_DONE_UP
10610618,HOUSE,HOUSE,Gent,319000,residential_sale,2,0,INSTALLED,,False,True,31.0,True,31.0,142,98,2.0,False,GOOD
10577515,HOUSE,HOUSE,Seraing,149000,residential_sale,2,14,SEMI_EQUIPPED,False,False,True,,True,25.0,105,105,2.0,False,GOOD
10391802,HOUSE,HOUSE,Kraainem,395000,residential_sale,3,45,NOT_INSTALLED,False,False,True,10.0,True,120.0,140,212,2.0,False,TO_RENOVATE
10655551,HOUSE,HOUSE,Merksem,285000,residential_sale,2,32,,,True,,,True,145.0,163,215,2.0,,TO_RENOVATE
10644586,HOUSE,HOUSE,Haaltert,359999,residential_sale,3,0,INSTALLED,,True,True,,,,177,455,3.0,,GOOD
10657514,HOUSE,HOUSE,Waterloo,549000,residential_sale,4,30,INSTALLED,False,False,True,25.0,True,230.0,207,464,3.0,False,GOOD
10579836,HOUSE,HOUSE,Genappe,235000,residential_sale,4,15,INSTALLED,False,False,,,True,272.0,142,302,2.0,False,TO_BE_DONE_UP
10658240,HOUSE,HOUSE,Londerzeel,425000,residential_sale,3,19,INSTALLED,,True,True,195.0,True,450.0,190,814,4.0,,GOOD
10648792,HOUSE,HOUSE,Herent,625000,residential_sale,4,0,INSTALLED,,True,True,,True,222.0,194,347,3.0,,JUST_RENOVATED
10235800,HOUSE,HOUSE,Libin,319900,residential_sale,3,30,INSTALLED,False,False,True,35.0,True,1215.0,150,1335,4.0,False,GOOD
10630913,HOUSE,HOUSE,Pont-a-Celles,349000,residential_sale,5,42,INSTALLED,False,False,True,25.0,True,350.0,200,447,2.0,False,AS_NEW
10654635,HOUSE,HOUSE,SINAAI,349000,residential_sale,3,0,INSTALLED,,True,,,,,198,372,3.0,,GOOD
10610877,HOUSE,VILLA,La Roche-en-Ardenne,398000,residential_sale,3,40,HYPER_EQUIPPED,False,False,True,35.0,True,1193.0,170,1193,4.0,False,GOOD
10403406,HOUSE,HOUSE,Ronse,149000,residential_sale,3,0,NOT_INSTALLED,False,False,,,True,20.0,180,130,2.0,False,TO_RENOVATE
10561682,HOUSE,HOUSE,Beveren,235000,residential_sale,3,31,SEMI_EQUIPPED,False,False,True,15.0,True,115.0,155,228,2.0,False,TO_RENOVATE
